label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,exp005_free_25,exp005_free_26,exp005_free_27,exp005_free_28,exp005_free_29,exp005_free_30,exp005_free_31,exp005_free_32,exp005_free_33,exp005_free_34,exp005_free_35,exp005_free_36,exp005_free_blank1,exp005_free_blank2
,442,442,12,135.045151,2.786,0.829673,[M-H]-,C12 PARENT,Phenylacetic acid,Phenylacetic acid,C8H8O2,0.004169,0,135.045151,332024.16,272001.53,1137301.38,909850.06,1146531.62,686604.25,624814.81,367939.66,681507.81,1022049.81,458218.5,813141.19,11156.48,10800.71
,403,403,12,143.034927,11.767,0.840688,[M-H]-,C12 PARENT,3-Methylglutaconic Acid,3-Methylglutaconic Acid,C6H8O4,1.25747,0.426715,143.034927,2059032.5,2155413.5,2062141.62,1522922.38,2186144.75,1927798.88,2197969.75,1956010.38,1945836.5,1932071,1673278.38,2072636.38,2070.51,1286.67
,403,632,12,144.041245,11.804,0.733642,,D2-label-1,3-Methylglutaconic Acid,3-Methylglutaconic Acid,C6H8O4,1.294365,0.105933,143.034927,48798.02,58642.64,54144.94,58115.83,56725.81,73146.84,34406.19,32895.75,17167.78,24053.94,17568.72,21043.11,0,132.24
,403,631,12,145.0392,11.8,0.775964,,O18-label-1,3-Methylglutaconic Acid,3-Methylglutaconic Acid,C6H8O4,1.289642,0.210409,143.034927,56797.42,73835.81,64576.11,67343.16,72969.66,73021.29,41445.45,48941.96,32108.77,36737.1,28745.59,38130.84,0,128.52
,232,232,12,149.045517,11.804,0.840807,[M-H]-,C12 PARENT,Ribose,Ribose,C5H10O5,1.203576,0.204753,149.045517,436051.53,470052.41,428388.75,266835.16,462983,377114.5,477743,406746.5,408687.16,405753.88,300162.38,425319.91,838.35,505.4
,232,634,11,150.051773,11.782,0.83023,,D2-label-1,Ribose,Ribose,C5H10O5,1.181623,0.30507,149.045517,12362.81,12262.07,10588.12,10403.75,14801.76,13950.65,8079.08,7582.76,3932.61,5299.58,3093.22,5518.87,0,0
,232,633,10,151.049789,11.762,0.832955,,O18-label-1,Ribose,Ribose,C5H10O5,1.162105,0,149.045517,14500.99,20139.23,15924.94,9581.62,15371.77,16166.26,10825.95,8977.59,7409.51,8497.94,4321.09,8091.87,0,0
,229,229,14,149.060791,2.727,0.83031,[M-H]-,C12 PARENT,3-Phenylpropionate,3-Phenylpropionate,C9H10O2,0.052837,0.102366,149.060791,1052505.5,885122.5,978911.31,427134.16,1324527.88,590036.81,2069399.88,1250420.62,946763.25,2282467.5,877744.31,1517666.88,5507.22,4689.84
,229,230,12,150.067093,2.717,0.836844,,D2-label-1,3-Phenylpropionate,3-Phenylpropionate,C9H10O2,0.062931,0.10168,149.060791,33387.29,20990.55,26583.51,14797.05,40477.41,20688.47,54207.69,45772.98,20008.2,57707.77,14266.67,35833.98,1042.69,1489.79
,229,635,8,151.065002,2.736,0.850707,,O18-label-1,3-Phenylpropionate,3-Phenylpropionate,C9H10O2,0.044418,0.303024,149.060791,27051.72,14119.09,12459.57,0,23017.11,9953.73,20444.3,24382.12,8446.97,18673.54,6073.02,17610.27,0,0
,220,220,12,157.036758,7.836,0.838411,[M-H]-,C12 PARENT,allantoin,allantoin,C4H6N4O3,0.215221,0.291501,157.036758,4728382,3384057.75,5485893.5,4979855,5937753.5,5671558,6805346,5132707,4478848.5,5054071.5,3122425.25,6522640.5,414.83,178.24
